T,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
2.910000e+02,1.000000e-60,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,7.671179e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,0.000000e+00
4.210184e+02,1.662344e-09,3.970903e-15,7.961803e-10,2.216537e-01,9.763752e-08,5.966973e-03,4.438719e-10,9.912840e-08,6.777634e-36,1.074403e-36,6.286557e-35,6.270523e-36,2.983192e-31,1.869246e-28,4.201794e-07,7.287632e-03,6.829112e-23,4.352905e-23,4.783079e-36,4.986775e-33,8.173259e-29,1.520651e-37,1.000000e-60,1.261634e-44,7.745093e-36,3.895622e-41,8.683803e-37,2.367749e-39,9.301271e-33,5.442902e-29,1.771779e-23,2.603416e-20,2.117002e-16,1.813330e-15,5.267313e-22,1.889270e-05,1.611093e-06,3.335849e-08,4.466746e-13,1.512350e-30,1.887859e-17,2.468792e-24,5.011401e-37,4.424473e-20,6.506599e-17,9.065383e-15,1.926878e-20,7.650706e-01,1.000000e-60,5.148405e-51,1.000000e-60,6.661327e-42,1.000000e-60,1.699267e-02
5.436825e+02,3.289150e-09,7.930168e-14,4.908549e-09,2.107464e-01,2.854315e-07,1.176321e-02,2.148683e-09,1.685981e-07,1.812145e-35,1.891024e-36,1.777455e-34,7.327729e-36,2.379104e-30,3.700625e-28,8.350952e-07,1.436678e-02,2.448831e-21,1.558333e-22,1.018915e-34,3.198498e-32,1.610120e-28,1.000000e-60,1.000000e-60,1.000000e-60,1.533844e-35,1.337175e-40,1.273166e-36,1.000000e-60,1.988259e-32,1.073011e-28,1.342611e-22,2.278998e-19,4.069996e-16,3.670183e-15,6.651351e-20,3.729315e-05,3.102201e-06,6.576270e-08,9.263961e-13,4.070289e-28,3.721715e-17,3.366514e-24,2.087073e-37,8.722377e-20,1.282707e-16,1.787989e-14,2.757882e-19,7.630819e-01,1.000000e-60,9.794592e-51,1.000000e-60,6.452872e-41,1.000000e-60,3.349923e-02
6.566379e+02,4.896415e-09,6.673481e-13,1.758305e-08,2.003611e-01,5.954789e-07,1.728202e-02,7.452019e-09,2.186239e-07,3.054523e-35,8.614554e-35,3.647013e-34,3.418649e-35,6.655688e-30,5.515680e-28,1.242535e-06,2.110713e-02,2.809710e-20,4.603805e-22,8.837229e-34,1.060984e-31,2.397689e-28,1.000000e-60,1.000000e-60,1.000000e-60,2.287009e-35,2.657745e-40,1.269406e-36,1.000000e-60,3.375988e-32,1.576438e-28,8.016764e-22,1.017611e-18,5.324657e-16,5.659027e-15,1.616736e-18,5.488428e-05,4.412730e-06,9.661618e-08,1.516767e-12,1.199693e-26,5.467886e-17,1.236911e-24,1.861445e-35,1.281462e-19,1.884508e-16,2.631528e-14,1.647758e-18,7.611883e-01,1.000000e-60,6.079441e-51,1.000000e-60,1.000000e-60,1.000000e-60,4.921587e-02
7.603797e+02,6.591602e-09,3.604846e-12,4.600432e-08,1.904834e-01,1.103468e-06,2.253091e-02,2.096420e-08,2.544224e-07,1.392573e-36,2.521544e-36,1.550380e-33,2.216221e-34,1.507710e-29,7.439393e-28,1.649667e-06,2.751794e-02,1.882679e-19,1.297748e-21,9.915875e-33,2.923089e-31,3.269906e-28,2.784929e-33,1.000000e-60,1.000000e-60,3.087405e-35,3.838847e-40,9.961477e-37,1.000000e-60,5.438649e-32,2.055305e-28,1.221322e-20,3.910524e-18,5.831360e-16,7.857699e-15,1.722219e-17,7.171872e-05,5.500834e-06,1.259606e-07,2.923998e-12,1.287012e-25,7.129297e-17,5.679466e-25,1.799008e-37,1.670689e-19,2.456896e-16,3.446100e-14,6.358801e-18,7.593873e-01,1.000000e-60,9.655437e-52,1.000000e-60,1.000000e-60,1.000000e-60,6.416417e-02
8.570265e+02,8.613361e-09,1.442537e-11,9.725375e-08,1.809598e-01,1.973324e-06,2.759139e-02,4.891713e-08,2.744308e-07,4.240794e-35,1.038830e-33,2.979437e-32,8.640420e-35,2.646288e-29,9.745966e-28,2.072663e-06,3.369882e-02,8.988801e-19,3.613581e-21,1.269599e-31,7.645402e-31,4.346372e-28,1.000000e-60,1.000000e-60,1.000000e-60,4.054324e-35,3.174579e-40,6.214716e-37,1.000000e-60,8.822690e-32,2.517247e-28,1.769790e-19,1.406408e-17,6.183999e-16,1.030418e-14,1.105847e-16,8.810504e-05,6.311489e-06,1.542471e-07,6.139162e-12,8.265803e-25,8.733902e-17,4.016789e-25,1.427493e-34,2.045999e-19,3.008809e-16,4.258957e-14,1.879087e-17,7.576509e-01,1.000000e-60,7.963592e-53,1.000000e-60,1.000000e-60,1.000000e-60,7.857646e-02
9.488006e+02,1.144286e-08,4.580482e-11,1.796006e-07,1.716204e-01,3.515261e-06,3.255354e-02,9.565692e-08,2.679128e-07,7.042980e-35,1.000000e-60,3.553437e-31,2.427487e-33,6.739518e-29,1.300309e-27,2.536725e-06,3.975998e-02,3.367057e-18,9.944281e-21,1.254941e-30,2.021706e-30,6.589706e-28,1.000000e-60,1.000000e-60,1.000000e-60,5.433182e-35,5.552147e-40,1.977396e-37,2.255463e-35,1.492817e-31,2.971260e-28,1.742603e-18,4.513016e-17,6.983671e-16,1.307429e-14,4.988993e-16,1.044058e-04,6.751271e-06,1.819599e-07,1.245450e-11,4.003849e-24,1.031664e-16,3.435518e-25,9.193388e-35,2.414182e-19,3.550268e-16,5.110500e-14,4.562966e-17,7.559481e-01,1.000000e-60,5.795273e-53,1.000000e-60,1.000000e-60,1.000000e-60,9.270975e-02
1.037420e+03,1.606756e-08,1.219140e-10,3.095350e-07,1.623377e-01,6.252573e-06,3.748475e-02,1.583495e-07,2.202160e-07,1.039790e-33,7.968002e-35,2.466924e-30,1.058193e-32,1.631997e-28,1.848246e-27,3.082298e-06,4.578398e-02,1.067453e-17,2.723830e-20,9.817448e-30,5.394951e-30,1.088129e-27,1.000000e-60,1.000000e-60,1.000000e-60,7.756243e-35,2.583531e-37,1.000000e-60,6.233375e-34,6.793115e-31,3.425969e-28,1.272058e-17,1.292823e-16,8.604342e-16,1.636372e-14,1.745527e-15,1.209191e-04,6.709883e-06,2.094161e-07,2.300933e-11,1.624629e-23,1.191541e-16,3.224863e-25,6.118011e-36,2.780507e-19,4.089256e-16,6.056174e-14,9.475031e-17,7.542557e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.067567e-01
1.124052e+03,2.446238e-08,2.875971e-10,5.184049e-07,1.530229e-01,1.098932e-05,4.243150e-02,2.245445e-07,1.452850e-07,6.725574e-33,1.857938e-34,1.385478e-29,8.676977e-32,5.350443e-28,2.932411e-27,3.780560e-06,5.182805e-02,3.077194e-17,7.709400e-20,7.027682e-29,1.535261e-29,2.109479e-27,1.000000e-60,1.000000e-60,1.000000e-60,2.500500e-35,1.000000e-60,1.000000e-60,6.582542e-32,3.053324e-30,3.893435e-28,7.557063e-17,3.480652e-16,1.144960e-15,2.059012e-14,5.132361e-15,1.378342e-04,6.137552e-06,2.367269e-07,3.802703e-11,5.797810e-23,1.358479e-16,3.239419e-25,3.501064e-36,3.149026e-19,4.632548e-16,7.174854e-14,1.750492e-16,7.525577e-01,1.000000e-60,1.000000e-60,1.000000e-60,2.704507e-38,1.000000e-60,1.208510e-01
1.209819e+03,4.057625e-08,6.380524e-10,8.634106e-07,1.435682e-01,1.898383e-05,4.745018e-02,2.795416e-07,8.921316e-08,5.138797e-33,6.701349e-33,6.524458e-29,5.229321e-31,1.750597e-27,5.355890e-27,4.769818e-06,5.796171e-02,8.611244e-17,2.369346e-19,4.815186e-28,4.978250e-29,4.375453e-27,2.193586e-33,1.000000e-60,1.000000e-60,5.134929e-36,1.000000e-60,1.000000e-60,4.386877e-31,1.081968e-29,4.402413e-28,3.938589e-16,9.485298e-16,1.642643e-15,2.667284e-14,1.366570e-14,1.552868e-04,5.119079e-06,2.638690e-07,5.695736e-11,1.891796e-22,1.543695e-16,3.521664e-25,1.524637e-34,3.525179e-19,5.190440e-16,8.593438e-14,3.016300e-16,7.508343e-01,1.000000e-60,2.099800e-52,1.000000e-60,1.981414e-37,8.517702e-37,1.351553e-01
