T,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
2.910000e+02,1.000000e-60,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,7.671179e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,0.000000e+00
4.034042e+02,2.791517e-07,2.505618e-12,6.769559e-08,2.231838e-01,6.412980e-07,5.169568e-03,2.250767e-07,4.586553e-07,5.378067e-33,8.784016e-37,5.802787e-28,2.917833e-29,1.207712e-23,3.386670e-21,5.318339e-05,6.234454e-03,5.531481e-18,1.367405e-16,2.055371e-27,2.305240e-24,2.847978e-21,9.524416e-33,1.435731e-22,3.011354e-33,1.283677e-26,6.557225e-34,6.866258e-32,1.456641e-26,4.910065e-21,1.765191e-21,1.477528e-18,1.294630e-16,4.755904e-15,4.544822e-14,2.314759e-19,7.711565e-06,2.885314e-06,5.942662e-08,5.680441e-11,1.982505e-24,7.929508e-12,1.065416e-16,8.308965e-37,1.162850e-14,2.331051e-13,1.232715e-11,1.401337e-15,7.653467e-01,1.000000e-60,4.168178e-47,2.186811e-45,1.919327e-27,5.574735e-28,1.473047e-02
5.104478e+02,5.520092e-07,3.054320e-11,2.387937e-07,2.137175e-01,1.633032e-06,1.021508e-02,7.127252e-07,8.360912e-07,1.987600e-34,2.339938e-35,7.063397e-27,4.835576e-28,8.243311e-23,6.697657e-21,1.052936e-04,1.231927e-02,1.223375e-16,3.236377e-16,2.618678e-26,1.617255e-23,5.678198e-21,2.506722e-33,2.839850e-22,1.191745e-31,2.545150e-26,8.445015e-33,1.370997e-31,1.054157e-25,9.878765e-21,3.488165e-21,1.276133e-17,2.218841e-15,1.037863e-14,9.034224e-14,1.703932e-17,1.550253e-05,5.296581e-06,1.174299e-07,1.273940e-10,4.164483e-22,1.566912e-11,1.939381e-16,5.454075e-35,2.297853e-14,4.606271e-13,2.436125e-11,1.090572e-14,7.636180e-01,1.000000e-60,1.250729e-46,4.378947e-45,2.948983e-26,1.331712e-27,2.910812e-02
6.096180e+02,8.135635e-07,1.736086e-10,5.808841e-07,2.046978e-01,3.128239e-06,1.502202e-02,1.511532e-06,1.153652e-06,1.180082e-33,7.150893e-33,3.828354e-26,2.971468e-27,2.847221e-22,9.872781e-21,1.552584e-04,1.811632e-02,9.465745e-16,5.886229e-16,2.509144e-25,5.001678e-23,8.372304e-21,7.204804e-32,4.189255e-22,1.308563e-30,3.771051e-26,4.533981e-32,2.059288e-31,3.853326e-25,1.496556e-20,5.130150e-21,5.383268e-17,1.232743e-14,1.702290e-14,1.342719e-13,2.845823e-16,2.324339e-05,7.106894e-06,1.726947e-07,2.125897e-10,1.147312e-20,2.304362e-11,2.238603e-16,2.284443e-33,3.379315e-14,6.774111e-13,3.583645e-11,4.163059e-14,7.619708e-01,1.000000e-60,2.467451e-46,6.600042e-45,1.726756e-25,2.357019e-27,4.280700e-02
7.005386e+02,1.064572e-06,6.942766e-10,1.191368e-06,1.961797e-01,5.387555e-06,1.956087e-02,2.633465e-06,1.423880e-06,1.372879e-34,1.068578e-31,1.397691e-25,9.981765e-27,5.974918e-22,1.292113e-20,2.028874e-04,2.359006e-02,4.635451e-15,9.747499e-16,1.679310e-24,9.995822e-23,1.085388e-20,1.094798e-30,5.495290e-22,7.694802e-30,4.980245e-26,1.597259e-31,2.779070e-31,1.069774e-24,2.033717e-20,6.681952e-21,1.679377e-16,4.074260e-14,2.485255e-14,1.777100e-13,2.302171e-15,3.090274e-05,8.280923e-06,2.248836e-07,3.201703e-10,1.179261e-19,3.000894e-11,1.781186e-16,1.521191e-32,4.400797e-14,8.821500e-13,4.669685e-11,1.081081e-13,7.604154e-01,1.000000e-60,3.461411e-46,8.944177e-45,6.440578e-25,3.697003e-27,5.574351e-02
7.846320e+02,1.311956e-06,2.268606e-09,2.230028e-06,1.880638e-01,8.864543e-06,2.388414e-02,4.058482e-06,1.653883e-06,6.700650e-32,1.556877e-30,6.579747e-25,2.460122e-26,9.460930e-22,1.592665e-20,2.488785e-04,2.880389e-02,1.763990e-14,1.551313e-15,8.616016e-24,1.563154e-22,1.320776e-20,9.059371e-30,6.809590e-22,3.196564e-29,6.229742e-26,4.479643e-31,3.586375e-31,2.612518e-24,2.631147e-20,8.163690e-21,4.597271e-16,1.028513e-13,3.425396e-14,2.220189e-13,1.235005e-14,3.856556e-05,8.838485e-06,2.746017e-07,4.685605e-10,7.091565e-19,3.664876e-11,1.150038e-16,1.562808e-31,5.374632e-14,1.077280e-12,5.709155e-11,2.226342e-13,7.589335e-01,1.000000e-60,3.168848e-46,1.160598e-44,1.798741e-24,5.466908e-27,6.806804e-02
8.636564e+02,1.566730e-06,6.449579e-09,3.968625e-06,1.802142e-01,1.433460e-05,2.806366e-02,5.714366e-06,1.842065e-06,2.970238e-30,2.850844e-29,4.723672e-24,6.101192e-26,1.408750e-21,1.902589e-20,2.942248e-04,3.384461e-02,5.681970e-14,2.420937e-15,3.673906e-23,2.260516e-22,1.570089e-20,5.278115e-29,8.219595e-22,1.078280e-28,7.615018e-26,1.096719e-30,4.569300e-31,6.032751e-24,3.339258e-20,9.605302e-21,1.183215e-15,2.211907e-13,4.598687e-14,2.690429e-13,5.084428e-14,4.634397e-05,8.813392e-06,3.226740e-07,6.797483e-10,3.121255e-18,4.308111e-11,8.112512e-17,2.187502e-30,6.318277e-14,1.266236e-12,6.722966e-11,3.957541e-13,7.575004e-01,1.000000e-60,2.211080e-46,1.493072e-44,3.881975e-24,7.828291e-27,7.998661e-02
9.391325e+02,1.845006e-06,1.635019e-08,6.849263e-06,1.725086e-01,2.306889e-05,3.216350e-02,7.451636e-06,1.974379e-06,7.224898e-29,4.657599e-28,3.211682e-23,1.996192e-25,2.186900e-21,2.242636e-20,3.400017e-04,3.878974e-02,1.604687e-13,3.711977e-15,1.348281e-22,3.268431e-22,1.878014e-20,2.461426e-28,9.863903e-22,3.153633e-28,9.295061e-26,2.415938e-30,5.855513e-31,1.371599e-23,4.239834e-20,1.104173e-20,2.932427e-15,4.251426e-13,6.134958e-14,3.211046e-13,1.721866e-13,5.432275e-05,8.260031e-06,3.698279e-07,9.697026e-10,1.132142e-17,4.942201e-11,6.822913e-17,2.801488e-29,7.249138e-14,1.452449e-12,7.732335e-11,6.384456e-13,7.560940e-01,1.000000e-60,1.735176e-46,1.956359e-44,6.380133e-24,1.095916e-26,9.168388e-02
1.012183e+03,2.171845e-06,3.747641e-08,1.153648e-05,1.648576e-01,3.704345e-05,3.622976e-02,9.057933e-06,2.021468e-06,1.203365e-27,5.796809e-27,1.764255e-22,8.952143e-25,3.655752e-21,2.647114e-20,3.873715e-04,4.369531e-02,4.050374e-13,5.548379e-15,4.310386e-22,4.763586e-22,2.318187e-20,1.003890e-27,1.197061e-21,8.285750e-28,1.155624e-25,4.827303e-30,7.615807e-31,3.147028e-23,5.474567e-20,1.251915e-20,7.076310e-15,7.515639e-13,8.241280e-14,3.813421e-13,4.989308e-13,6.252666e-05,7.275113e-06,4.165612e-07,1.341198e-09,3.607178e-17,5.578105e-11,6.385612e-17,2.809314e-28,8.184057e-14,1.639368e-12,8.757899e-11,9.650221e-13,7.546979e-01,1.000000e-60,1.807900e-46,2.682471e-44,8.229801e-24,1.509580e-26,1.032948e-01
1.083491e+03,2.587944e-06,7.871929e-08,1.892079e-05,1.572073e-01,5.907888e-05,4.028866e-02,1.032689e-05,1.945510e-06,1.502274e-26,5.558066e-26,7.910528e-22,4.391412e-24,6.713813e-21,3.177085e-20,4.377169e-04,4.859342e-02,9.286440e-13,8.013157e-15,1.210056e-21,6.924939e-22,3.014960e-20,3.753432e-27,1.492975e-21,2.021875e-27,1.494879e-25,8.841258e-30,1.006931e-30,7.399591e-23,7.302623e-20,1.411340e-20,1.683376e-14,1.256337e-12,1.123741e-13,4.543623e-13,1.272862e-12,7.090698e-05,6.013145e-06,4.630888e-07,1.781795e-09,1.042845e-16,6.227950e-11,6.329054e-17,2.213107e-27,9.141740e-14,1.831208e-12,9.821910e-11,1.395215e-12,7.533026e-01,1.000000e-60,2.483188e-46,3.965699e-44,9.271953e-24,2.083589e-26,1.148991e-01
